acr_repo,ecr_repo,acr_tags,acr_manifests,ecr_tags,ecr_manifests,tags_match,manifests_match
oneacrefund/airbyte-source-telerivet,oneacrefund/airbyte-source-telerivet,0,0,0,0,YES,YES
oneacrefund/airtel-connector,oneacrefund/airtel-connector,0,0,0,0,YES,YES
oneacrefund/api,oneacrefund/api,0,0,0,0,YES,YES
oneacrefund/auth,oneacrefund/auth,0,0,0,0,YES,YES
oneacrefund/autosaveconsumer,oneacrefund/autosaveconsumer,0,0,0,0,YES,YES
oneacrefund/azure-blob-logstash,oneacrefund/azure-blob-logstash,0,0,0,0,YES,YES
oneacrefund/baobab-backend,oneacrefund/baobab-backend,0,0,0,0,YES,YES
oneacrefund/cbes-connector,oneacrefund/cbes-connector,0,0,0,0,YES,YES
oneacrefund/channel-connector,oneacrefund/channel-connector,0,0,0,0,YES,YES
oneacrefund/client-management,oneacrefund/client-management,0,0,0,0,YES,YES
oneacrefund/clientconsumer,oneacrefund/clientconsumer,0,0,0,0,YES,YES
oneacrefund/clientmanagement,oneacrefund/clientmanagement,0,0,0,0,YES,YES
oneacrefund/clif-cache,oneacrefund/clif-cache,0,0,0,0,YES,YES
oneacrefund/connector-template,oneacrefund/connector-template,0,0,0,0,YES,YES
oneacrefund/couchbase-duma,oneacrefund/couchbase-duma,0,0,0,0,YES,YES
oneacrefund/dbt,oneacrefund/dbt,0,0,0,0,YES,YES
oneacrefund/dumaapi,oneacrefund/dumaapi,0,0,0,0,YES,YES
oneacrefund/elasticsearch,oneacrefund/elasticsearch,0,0,0,0,YES,YES
oneacrefund/erply-cache,oneacrefund/erply-cache,0,0,0,0,YES,YES
oneacrefund/erply-connector,oneacrefund/erply-connector,0,0,0,0,YES,YES
oneacrefund/erply-consumer,oneacrefund/erply-consumer,0,0,0,0,YES,YES
oneacrefund/erply-create-payment,oneacrefund/erply-create-payment,0,0,0,0,YES,YES
oneacrefund/erply-payment,oneacrefund/erply-payment,0,0,0,0,YES,YES
oneacrefund/event-publisher,oneacrefund/event-publisher,0,0,0,0,YES,YES
oneacrefund/fds-api,oneacrefund/fds-api,0,0,0,0,YES,YES
oneacrefund/fds-consumer,oneacrefund/fds-consumer,0,0,0,0,YES,YES
oneacrefund/ffp-consumer,oneacrefund/ffp-consumer,0,0,0,0,YES,YES
oneacrefund/fineract-backend,oneacrefund/fineract-backend,0,0,0,0,YES,YES
oneacrefund/fineract-frontend,oneacrefund/fineract-frontend,0,0,0,0,YES,YES
oneacrefund/fineract-frontend-v2,oneacrefund/fineract-frontend-v2,0,0,0,0,YES,YES
oneacrefund/fleet,oneacrefund/fleet,0,0,0,0,YES,YES
oneacrefund/flink,oneacrefund/flink,0,0,0,0,YES,YES
oneacrefund/jenkins,oneacrefund/jenkins,0,0,0,0,YES,YES
oneacrefund/k8s-elastalert,oneacrefund/k8s-elastalert,0,0,0,0,YES,YES
oneacrefund/k8s-kibana,oneacrefund/k8s-kibana,0,0,0,0,YES,YES
oneacrefund/k8s-logstash,oneacrefund/k8s-logstash,0,0,0,0,YES,YES
oneacrefund/k8s-logstash-polling,oneacrefund/k8s-logstash-polling,0,0,0,0,YES,YES
oneacrefund/keycloak-api,oneacrefund/keycloak-api,0,0,0,0,YES,YES
oneacrefund/keycloak-themes,oneacrefund/keycloak-themes,0,0,0,0,YES,YES
oneacrefund/kibana,oneacrefund/kibana,0,0,0,0,YES,YES
oneacrefund/knowi-agent,oneacrefund/knowi-agent,0,0,0,0,YES,YES
oneacrefund/logistics-app,oneacrefund/logistics-app,0,0,0,0,YES,YES
oneacrefund/logstash,oneacrefund/logstash,0,0,0,0,YES,YES
oneacrefund/master-data-odoo-consumer,oneacrefund/master-data-odoo-consumer,0,0,0,0,YES,YES
oneacrefund/message-gateway,oneacrefund/message-gateway,0,0,0,0,YES,YES
oneacrefund/metabase,oneacrefund/metabase,0,0,0,0,YES,YES
oneacrefund/mpesa-connector,oneacrefund/mpesa-connector,0,0,0,0,YES,YES
oneacrefund/msg-refresh-v3,oneacrefund/msg-refresh-v3,0,0,0,0,YES,YES
oneacrefund/mtn-connector,oneacrefund/mtn-connector,0,0,0,0,YES,YES
oneacrefund/mw-ai-services,oneacrefund/mw-ai-services,0,0,0,0,YES,YES
oneacrefund/my-project-api,oneacrefund/my-project-api,0,0,0,0,YES,YES
oneacrefund/my-project-worker,oneacrefund/my-project-worker,0,0,0,0,YES,YES
oneacrefund/n8n,oneacrefund/n8n,0,0,0,0,YES,YES
oneacrefund/notificationapi,oneacrefund/notificationapi,0,0,0,0,YES,YES
oneacrefund/oaf-client-update,oneacrefund/oaf-client-update,0,0,0,0,YES,YES
oneacrefund/oaf-dbt,oneacrefund/oaf-dbt,0,0,0,0,YES,YES
oneacrefund/oaf-jenkins,oneacrefund/oaf-jenkins,0,0,0,0,YES,YES
oneacrefund/oaf-logstash,oneacrefund/oaf-logstash,0,0,0,0,YES,YES
oneacrefund/oaf-moodle,oneacrefund/oaf-moodle,0,0,0,0,YES,YES
oneacrefund/oaf-odoo-data-migration,oneacrefund/oaf-odoo-data-migration,0,0,0,0,YES,YES
oneacrefund/oaf-toolbox,oneacrefund/oaf-toolbox,0,0,0,0,YES,YES
oneacrefund/ocs-fulfillment-plan,oneacrefund/ocs-fulfillment-plan,0,0,0,0,YES,YES
oneacrefund/ocs-reserve-consumer,oneacrefund/ocs-reserve-consumer,0,0,0,0,YES,YES
oneacrefund/odoo,oneacrefund/odoo,0,0,0,0,YES,YES
oneacrefund/odoo-cache,oneacrefund/odoo-cache,0,0,0,0,YES,YES
oneacrefund/odoo-locust,oneacrefund/odoo-locust,0,0,0,0,YES,YES
oneacrefund/odoo-procurement,oneacrefund/odoo-procurement,0,0,0,0,YES,YES
oneacrefund/odoo-producer,oneacrefund/odoo-producer,0,0,0,0,YES,YES
oneacrefund/odoo-sapb1-consumer,oneacrefund/odoo-sapb1-consumer,0,0,0,0,YES,YES
oneacrefund/odoo-sapb1-sales-consumer,oneacrefund/odoo-sapb1-sales-consumer,0,0,0,0,YES,YES
oneacrefund/odoo-service,oneacrefund/odoo-service,0,0,0,0,YES,YES
oneacrefund/odoo-utilities,oneacrefund/odoo-utilities,0,0,0,0,YES,YES
oneacrefund/offlinewritesserviceapi,oneacrefund/offlinewritesserviceapi,0,0,0,0,YES,YES
oneacrefund/oneacrefund,oneacrefund/oneacrefund,0,0,0,0,YES,YES
oneacrefund/operations-app,oneacrefund/operations-app,0,0,0,0,YES,YES
oneacrefund/orderingservice,oneacrefund/orderingservice,0,0,0,0,YES,YES
oneacrefund/paygops-ams-connector,oneacrefund/paygops-ams-connector,0,0,0,0,YES,YES
oneacrefund/payment-gateway-consumer,oneacrefund/payment-gateway-consumer,0,0,0,0,YES,YES
oneacrefund/payment-gateway-wrapper,oneacrefund/payment-gateway-wrapper,0,0,0,0,YES,YES
oneacrefund/paymentconsumer,oneacrefund/paymentconsumer,0,0,0,0,YES,YES
oneacrefund/payments_pesa_autosave_consumer,oneacrefund/payments_pesa_autosave_consumer,0,0,0,0,YES,YES
oneacrefund/payments_pesa_core,oneacrefund/payments_pesa_core,0,0,0,0,YES,YES
oneacrefund/payments_pesa_equity_bank,oneacrefund/payments_pesa_equity_bank,0,0,0,0,YES,YES
oneacrefund/payments_pesa_payment_consumer,oneacrefund/payments_pesa_payment_consumer,0,0,0,0,YES,YES
oneacrefund/pesa_autosave_consumer,oneacrefund/pesa_autosave_consumer,0,0,0,0,YES,YES
oneacrefund/pesa_bancobu,oneacrefund/pesa_bancobu,0,0,0,0,YES,YES
oneacrefund/pesa_bank_of_kigali,oneacrefund/pesa_bank_of_kigali,0,0,0,0,YES,YES
oneacrefund/pesa_bc,oneacrefund/pesa_bc,0,0,0,0,YES,YES
oneacrefund/pesa_beyonic,oneacrefund/pesa_beyonic,0,0,0,0,YES,YES
oneacrefund/pesa_bk,oneacrefund/pesa_bk,0,0,0,0,YES,YES
oneacrefund/pesa_core,oneacrefund/pesa_core,0,0,0,0,YES,YES
oneacrefund/pesa_equity_bank,oneacrefund/pesa_equity_bank,0,0,0,0,YES,YES
oneacrefund/pesa_fbn,oneacrefund/pesa_fbn,0,0,0,0,YES,YES
oneacrefund/pesa_first_bank,oneacrefund/pesa_first_bank,0,0,0,0,YES,YES
oneacrefund/pesa_payment_consumer,oneacrefund/pesa_payment_consumer,0,0,0,0,YES,YES
oneacrefund/ph-ee-connector-ams-fineract,oneacrefund/ph-ee-connector-ams-fineract,0,0,0,0,YES,YES
oneacrefund/ph-ee-connector-ams-odoo,oneacrefund/ph-ee-connector-ams-odoo,0,0,0,0,YES,YES
oneacrefund/ph-ee-connector-ams-pesa,oneacrefund/ph-ee-connector-ams-pesa,0,0,0,0,YES,YES
oneacrefund/ph-ee-connector-bancobu,oneacrefund/ph-ee-connector-bancobu,0,0,0,0,YES,YES
oneacrefund/ph-ee-connector-channel,oneacrefund/ph-ee-connector-channel,0,0,0,0,YES,YES
oneacrefund/ph-ee-connector-mpesa,oneacrefund/ph-ee-connector-mpesa,0,0,0,0,YES,YES
oneacrefund/ph-ee-connector-nbs,oneacrefund/ph-ee-connector-nbs,0,0,0,0,YES,YES
oneacrefund/ph-ee-importer-es,oneacrefund/ph-ee-importer-es,0,0,0,0,YES,YES
oneacrefund/ph-ee-importer-rdbms,oneacrefund/ph-ee-importer-rdbms,0,0,0,0,YES,YES
oneacrefund/ph-ee-operations-web,oneacrefund/ph-ee-operations-web,0,0,0,0,YES,YES
oneacrefund/rabbitmq-connector,oneacrefund/rabbitmq-connector,0,0,0,0,YES,YES
oneacrefund/rabbitmq-external-connector,oneacrefund/rabbitmq-external-connector,0,0,0,0,YES,YES
oneacrefund/redis-service,oneacrefund/redis-service,0,0,0,0,YES,YES
oneacrefund/refresh,oneacrefund/refresh,0,0,0,0,YES,YES
oneacrefund/retry-service,oneacrefund/retry-service,0,0,0,0,YES,YES
oneacrefund/roster-dataset,oneacrefund/roster-dataset,0,0,0,0,YES,YES
oneacrefund/rts-api,oneacrefund/rts-api,0,0,0,0,YES,YES
oneacrefund/rts-consumer,oneacrefund/rts-consumer,0,0,0,0,YES,YES
oneacrefund/rts-ui,oneacrefund/rts-ui,0,0,0,0,YES,YES
oneacrefund/sage-300-core,oneacrefund/sage-300-core,0,0,0,0,YES,YES
oneacrefund/sage-300-cron-connector,oneacrefund/sage-300-cron-connector,0,0,0,0,YES,YES
oneacrefund/sage-300-cron-proxy,oneacrefund/sage-300-cron-proxy,0,0,0,0,YES,YES
oneacrefund/sage-300-rabbitmq-connector,oneacrefund/sage-300-rabbitmq-connector,0,0,0,0,YES,YES
oneacrefund/sage-300-rabbitmq-proxy,oneacrefund/sage-300-rabbitmq-proxy,0,0,0,0,YES,YES
oneacrefund/sanction-screen-api,oneacrefund/sanction-screen-api,0,0,0,0,YES,YES
oneacrefund/sapb1-cache,oneacrefund/sapb1-cache,0,0,0,0,YES,YES
oneacrefund/sapb1-consumer,oneacrefund/sapb1-consumer,0,0,0,0,YES,YES
oneacrefund/sapb1-erply-consumer,oneacrefund/sapb1-erply-consumer,0,0,0,0,YES,YES
oneacrefund/sapb1-erply-producer,oneacrefund/sapb1-erply-producer,0,0,0,0,YES,YES
oneacrefund/sapb1-master-data-consumer,oneacrefund/sapb1-master-data-consumer,0,0,0,0,YES,YES
oneacrefund/sapb1-odoo-consumer,oneacrefund/sapb1-odoo-consumer,0,0,0,0,YES,YES
oneacrefund/sapb1-producer,oneacrefund/sapb1-producer,0,0,0,0,YES,YES
oneacrefund/scheduler,oneacrefund/scheduler,0,0,0,0,YES,YES
oneacrefund/sf-cache,oneacrefund/sf-cache,0,0,0,0,YES,YES
oneacrefund/sf-cache-etl,oneacrefund/sf-cache-etl,0,0,0,0,YES,YES
oneacrefund/sf-fetch-employee-data,oneacrefund/sf-fetch-employee-data,0,0,0,0,YES,YES
oneacrefund/sf-producer,oneacrefund/sf-producer,0,0,0,0,YES,YES
oneacrefund/sf-sync,oneacrefund/sf-sync,0,0,0,0,YES,YES
oneacrefund/shopxp-backend,oneacrefund/shopxp-backend,0,0,0,0,YES,YES
oneacrefund/shs-migrator,oneacrefund/shs-migrator,0,0,0,0,YES,YES
oneacrefund/sns,oneacrefund/sns,0,0,0,0,YES,YES
oneacrefund/superset,oneacrefund/superset,0,0,0,0,YES,YES
oneacrefund/sydent,oneacrefund/sydent,0,0,0,0,YES,YES
oneacrefund/sync-gw-dataset,oneacrefund/sync-gw-dataset,0,0,0,0,YES,YES
oneacrefund/tnm-connector,oneacrefund/tnm-connector,0,0,0,0,YES,YES
oneacrefund/tupande-connector,oneacrefund/tupande-connector,0,0,0,0,YES,YES
