acr_repo,ecr_repo,acr_tags,ecr_tags,acr_tags_missing_from_ecr,ecr_only_tags,tags_synced,acr_manifests,ecr_manifests,acr_manifests_missing_from_ecr,ecr_only_manifests,manifests_synced
infra/zabbix-proxy-sqlite3,infra/zabbix-proxy-sqlite3,1,1,0,0,YES,1,1,0,0,YES
ingress-nginx/opentelemetry-1.25.3,ingress-nginx/opentelemetry-1.25.3,1,1,0,0,YES,1,1,0,0,YES
jetstack/cert-manager-cainjector,jetstack/cert-manager-cainjector,1,1,0,0,YES,6,6,0,0,YES
jetstack/cert-manager-controller,jetstack/cert-manager-controller,1,1,0,0,YES,6,6,0,0,YES
jetstack/cert-manager-webhook,jetstack/cert-manager-webhook,1,1,0,0,YES,6,6,0,0,YES
jiralert,jiralert,1,1,0,0,YES,1,1,0,0,YES
matomo-redis,matomo-redis,15,15,0,0,YES,14,14,0,0,YES
micro,micro,1,1,0,0,YES,1,1,0,0,YES
nats-streaming,nats-streaming,1,1,0,0,YES,1,1,0,0,YES
oaf-logstash,oaf-logstash,1,1,0,0,YES,1,1,0,0,YES
one-acre-fund/tupande-mobile-admin,one-acre-fund/tupande-mobile-admin,1,1,0,0,YES,1,1,0,0,YES
oneacrefund/adminer,oneacrefund/adminer,1,1,0,0,YES,1,1,0,0,YES
oneacrefund/airbyte-custom,oneacrefund/airbyte-custom,1,1,0,0,YES,1,1,0,0,YES
oneacrefund/airbyte-firestore,oneacrefund/airbyte-firestore,40,40,0,0,YES,40,40,0,0,YES
oneacrefund/airbyte-kobo,oneacrefund/airbyte-kobo,43,43,0,0,YES,93,93,0,0,YES
oneacrefund/airbyte-source-telerivet,oneacrefund/airbyte-source-telerivet,3,3,0,0,YES,4,4,0,0,YES
oneacrefund/airtel-connector,oneacrefund/airtel-connector,33,33,0,0,YES,39,39,0,0,YES
oneacrefund/api,oneacrefund/api,60,103,0,43,YES,120,132,0,12,YES
oneacrefund/auth,oneacrefund/auth,60,103,0,43,YES,120,132,0,12,YES
oneacrefund/autosaveconsumer,oneacrefund/autosaveconsumer,1,1,0,0,YES,1,1,0,0,YES
oneacrefund/azure-blob-logstash,oneacrefund/azure-blob-logstash,2,2,0,0,YES,1,1,0,0,YES
oneacrefund/baobab-backend,oneacrefund/baobab-backend,60,60,0,0,YES,147,144,3,0,NO
oneacrefund/cbes-connector,oneacrefund/cbes-connector,2,2,0,0,YES,1,1,0,0,YES
oneacrefund/channel-connector,oneacrefund/channel-connector,56,56,0,0,YES,58,59,0,1,YES
oneacrefund/client-management,oneacrefund/client-management,1,1,0,0,YES,1,1,0,0,YES
oneacrefund/clientconsumer,oneacrefund/clientconsumer,40,40,0,0,YES,39,39,0,0,YES
oneacrefund/clientmanagement,oneacrefund/clientmanagement,15,15,0,0,YES,15,15,0,0,YES
oneacrefund/clif-cache,oneacrefund/clif-cache,60,75,0,15,YES,102,116,0,14,YES
oneacrefund/connector-template,oneacrefund/connector-template,2,2,0,0,YES,1,1,0,0,YES
