acr_repo,ecr_repo,acr_tags,acr_manifests,ecr_tags,ecr_manifests,acr_only_tags,ecr_only_tags,tags_match,manifests_match
infra/oaf-zabbix-api,infra/oaf-zabbix-api,60,59,60,60,0,0,YES,NO
infra/oaf-zabbix-grafana,infra/oaf-zabbix-grafana,40,39,40,40,0,0,YES,NO
infra/oaf-zabbix-index,infra/oaf-zabbix-index,1,1,1,1,0,0,YES,YES
infra/oaf-zabbix-influx,infra/oaf-zabbix-influx,40,39,40,40,0,0,YES,NO
infra/oaf-zabbix-monitor,infra/oaf-zabbix-monitor,42,41,42,42,0,0,YES,NO
infra/oaf-zabbix-mysql,infra/oaf-zabbix-mysql,1,1,1,1,0,0,YES,YES
infra/oaf-zabbix-prep,infra/oaf-zabbix-prep,40,39,40,40,0,0,YES,NO
infra/oaf-zabbix-web,infra/oaf-zabbix-web,40,39,40,40,0,0,YES,NO
infra/oafoauth-proxy,infra/oafoauth-proxy,1,1,1,1,0,0,YES,YES
infra/ocs-integrated,infra/ocs-integrated,1,1,1,1,0,0,YES,YES
infra/quay.io/kiwigrid/k8s-sidecar,infra/quay.io/kiwigrid/k8s-sidecar,1,1,1,1,0,0,YES,YES
infra/zabbix/zabbix-agent2,infra/zabbix/zabbix-agent2,1,1,1,1,0,0,YES,YES
infra/zabbix-apache,infra/zabbix-apache,1,1,1,1,0,0,YES,YES
infra/zabbix-influxpush,infra/zabbix-influxpush,1,1,1,1,0,0,YES,YES
infra/zabbix-monitor,infra/zabbix-monitor,1,1,1,1,0,0,YES,YES
infra/zabbix-proxy-sqlite3,infra/zabbix-proxy-sqlite3,1,1,1,1,0,0,YES,YES
ingress-nginx/opentelemetry-1.25.3,ingress-nginx/opentelemetry-1.25.3,1,1,1,1,0,0,YES,YES
jetstack/cert-manager-cainjector,jetstack/cert-manager-cainjector,1,6,1,6,0,0,YES,YES
jetstack/cert-manager-controller,jetstack/cert-manager-controller,1,6,1,6,0,0,YES,YES
jetstack/cert-manager-webhook,jetstack/cert-manager-webhook,1,6,1,6,0,0,YES,YES
jiralert,jiralert,1,1,1,1,0,0,YES,YES
matomo-redis,matomo-redis,15,14,15,15,0,0,YES,NO
micro,micro,1,1,1,1,0,0,YES,YES
nats-streaming,nats-streaming,1,1,1,1,0,0,YES,YES
oaf-logstash,oaf-logstash,1,1,1,1,0,0,YES,YES
one-acre-fund/tupande-mobile-admin,one-acre-fund/tupande-mobile-admin,1,1,1,1,0,0,YES,YES
oneacrefund/adminer,oneacrefund/adminer,1,1,1,1,0,0,YES,YES
oneacrefund/airbyte-custom,oneacrefund/airbyte-custom,1,1,1,1,0,0,YES,YES
oneacrefund/airbyte-firestore,oneacrefund/airbyte-firestore,40,40,40,40,0,0,YES,YES
oneacrefund/airbyte-kobo,oneacrefund/airbyte-kobo,43,93,43,93,0,0,YES,YES
oneacrefund/airbyte-source-telerivet,oneacrefund/airbyte-source-telerivet,3,4,3,5,0,0,YES,NO
oneacrefund/airtel-connector,oneacrefund/airtel-connector,33,38,33,35,0,0,YES,NO
oneacrefund/api,oneacrefund/api,77,132,103,103,0,26,NO,NO
oneacrefund/auth,oneacrefund/auth,77,132,103,103,0,26,NO,NO
oneacrefund/autosaveconsumer,oneacrefund/autosaveconsumer,1,1,1,1,0,0,YES,YES
oneacrefund/azure-blob-logstash,oneacrefund/azure-blob-logstash,2,1,2,2,0,0,YES,NO
oneacrefund/baobab-backend,oneacrefund/baobab-backend,60,147,60,117,0,0,YES,NO
oneacrefund/cbes-connector,oneacrefund/cbes-connector,2,1,2,2,0,0,YES,NO
oneacrefund/channel-connector,oneacrefund/channel-connector,56,58,56,57,0,0,YES,NO
oneacrefund/client-management,oneacrefund/client-management,1,1,1,1,0,0,YES,YES
oneacrefund/clientconsumer,oneacrefund/clientconsumer,40,39,40,40,0,0,YES,NO
oneacrefund/clientmanagement,oneacrefund/clientmanagement,15,15,15,15,0,0,YES,YES
oneacrefund/clif-cache,oneacrefund/clif-cache,63,102,75,81,0,12,NO,NO
oneacrefund/connector-template,oneacrefund/connector-template,2,1,2,2,0,0,YES,NO
oneacrefund/couchbase-duma,oneacrefund/couchbase-duma,1,1,1,1,0,0,YES,YES
oneacrefund/dbt,oneacrefund/dbt,6,6,6,6,0,0,YES,YES
oneacrefund/dumaapi,oneacrefund/dumaapi,5,5,5,5,0,0,YES,YES
oneacrefund/elasticsearch,oneacrefund/elasticsearch,32,3,32,32,0,0,YES,NO
oneacrefund/erply-cache,oneacrefund/erply-cache,40,40,40,40,0,0,YES,YES
oneacrefund/erply-connector,oneacrefund/erply-connector,31,31,31,31,0,0,YES,YES
