acr_repo,ecr_repo,acr_tags,acr_manifests,ecr_tags,ecr_manifests,tags_match,manifests_match
airbyte-ktb,airbyte-ktb,1,0,1,3,YES,NO
airflow,airflow,77,0,88,291,NO,NO
alertmanager,alertmanager,1,0,1,1,YES,NO
alpine,alpine,1,0,1,3,YES,NO
backstage,backstage,60,0,75,240,NO,NO
bitnami/rabbitmq,bitnami/rabbitmq,1,0,1,1,YES,NO
busybox,busybox,1,0,1,1,YES,NO
camunda/zeebe,camunda/zeebe,1,0,1,1,YES,NO
helm/baobab-backend,helm/baobab-backend,4,0,4,4,YES,NO
helm/client-management,helm/client-management,2,0,2,2,YES,NO
helm/couchbase-dependencies,helm/couchbase-dependencies,5,0,5,5,YES,NO
helm/duma,helm/duma,3,0,3,3,YES,NO
helm/fineract-backend,helm/fineract-backend,23,0,23,24,YES,NO
helm/fineract-frontend,helm/fineract-frontend,7,0,7,8,YES,NO
helm/log-app,helm/log-app,4,0,4,4,YES,NO
helm/msgateway-2,helm/msgateway-2,29,0,29,30,YES,NO
helm/oaf-odoo-data-migration,helm/oaf-odoo-data-migration,3,0,3,3,YES,NO
helm/offline-writes,helm/offline-writes,6,0,6,6,YES,NO
helm/otpgateway,helm/otpgateway,4,0,4,4,YES,NO
helm/ou-api-service,helm/ou-api-service,3,0,3,3,YES,NO
helm/pesa,helm/pesa,5,0,5,5,YES,NO
helm/ph-ee-engine,helm/ph-ee-engine,3,0,3,3,YES,NO
helm/shs,helm/shs,7,0,7,7,YES,NO
helm/tax-signature,helm/tax-signature,3,0,3,3,YES,NO
helm/timiza,helm/timiza,4,0,4,4,YES,NO
infra/defaultbackend-amd64,infra/defaultbackend-amd64,1,0,1,1,YES,NO
infra/ghcr.io/dexidp/dex,infra/ghcr.io/dexidp/dex,1,0,1,1,YES,NO
infra/http-base,infra/http-base,1,0,1,1,YES,NO
infra/ingress-nginx/controller,infra/ingress-nginx/controller,2,0,2,6,YES,NO
infra/ingress-nginx/custom-error-pages,infra/ingress-nginx/custom-error-pages,1,0,1,1,YES,NO
infra/ingress-nginx/kube-webhook-certgen,infra/ingress-nginx/kube-webhook-certgen,2,0,2,6,YES,NO
infra/ito-cluster06,infra/ito-cluster06,2,0,2,2,YES,NO
infra/ito-kubeclient,infra/ito-kubeclient,1,0,1,1,YES,NO
infra/k8s-zabbix,infra/k8s-zabbix,1,0,1,1,YES,NO
infra/kiwigrid/k8s-sidecar,infra/kiwigrid/k8s-sidecar,1,0,1,1,YES,NO
infra/konga,infra/konga,1,0,1,1,YES,NO
infra/kube-state-metrics/kube-state-metrics,infra/kube-state-metrics/kube-state-metrics,1,0,1,1,YES,NO
infra/mcr.microsoft.com/hello-world,infra/mcr.microsoft.com/hello-world,1,0,1,1,YES,NO
infra/mcr.microsoft.com/oss/kubernetes-csi/azuredisk-csi,infra/mcr.microsoft.com/oss/kubernetes-csi/azuredisk-csi,1,0,1,1,YES,NO
infra/nginx-base,infra/nginx-base,1,0,1,1,YES,NO
infra/oaf-certbot-godaddy,infra/oaf-certbot-godaddy,1,0,1,1,YES,NO
infra/oaf-ipsec-1sbnk,infra/oaf-ipsec-1sbnk,1,0,1,1,YES,NO
