acr_repo,ecr_repo,acr_tags,acr_manifests,ecr_tags,ecr_manifests,tags_match,manifests_match
infra/oaf-ipsec-server,infra/oaf-ipsec-server,2,0,2,2,YES,NO
infra/oaf-kong-ingress-controller,infra/oaf-kong-ingress-controller,1,0,1,1,YES,NO
infra/oaf-kong-proxy,infra/oaf-kong-proxy,1,0,1,1,YES,NO
infra/oaf-nc-listener,infra/oaf-nc-listener,1,0,1,1,YES,NO
infra/oaf-oauth-receipts,infra/oaf-oauth-receipts,1,0,1,1,YES,NO
infra/oaf-postgres,infra/oaf-postgres,2,0,2,2,YES,NO
infra/oaf-stunnel,infra/oaf-stunnel,1,0,1,1,YES,NO
infra/oaf-zabbix-apache,infra/oaf-zabbix-apache,1,0,1,1,YES,NO
infra/oaf-zabbix-api,infra/oaf-zabbix-api,60,0,60,60,YES,NO
infra/oaf-zabbix-grafana,infra/oaf-zabbix-grafana,40,0,40,40,YES,NO
infra/oaf-zabbix-index,infra/oaf-zabbix-index,1,0,1,1,YES,NO
infra/oaf-zabbix-influx,infra/oaf-zabbix-influx,40,0,40,40,YES,NO
infra/oaf-zabbix-monitor,infra/oaf-zabbix-monitor,42,0,42,42,YES,NO
infra/oaf-zabbix-mysql,infra/oaf-zabbix-mysql,1,0,1,1,YES,NO
infra/oaf-zabbix-prep,infra/oaf-zabbix-prep,40,0,40,40,YES,NO
infra/oaf-zabbix-web,infra/oaf-zabbix-web,40,0,40,40,YES,NO
infra/oafoauth-proxy,infra/oafoauth-proxy,1,0,1,1,YES,NO
infra/ocs-integrated,infra/ocs-integrated,1,0,1,1,YES,NO
infra/quay.io/kiwigrid/k8s-sidecar,infra/quay.io/kiwigrid/k8s-sidecar,1,0,1,1,YES,NO
infra/zabbix/zabbix-agent2,infra/zabbix/zabbix-agent2,1,0,1,1,YES,NO
infra/zabbix-apache,infra/zabbix-apache,1,0,1,1,YES,NO
infra/zabbix-influxpush,infra/zabbix-influxpush,1,0,1,1,YES,NO
infra/zabbix-monitor,infra/zabbix-monitor,1,0,1,1,YES,NO
infra/zabbix-proxy-sqlite3,infra/zabbix-proxy-sqlite3,1,0,1,1,YES,NO
ingress-nginx/opentelemetry-1.25.3,ingress-nginx/opentelemetry-1.25.3,1,0,1,1,YES,NO
jetstack/cert-manager-cainjector,jetstack/cert-manager-cainjector,1,0,1,6,YES,NO
jetstack/cert-manager-controller,jetstack/cert-manager-controller,1,0,1,6,YES,NO
jetstack/cert-manager-webhook,jetstack/cert-manager-webhook,1,0,1,6,YES,NO
jiralert,jiralert,1,0,1,1,YES,NO
matomo-redis,matomo-redis,15,0,15,15,YES,NO
micro,micro,1,0,1,1,YES,NO
nats-streaming,nats-streaming,1,0,1,1,YES,NO
oaf-logstash,oaf-logstash,1,0,1,1,YES,NO
one-acre-fund/tupande-mobile-admin,one-acre-fund/tupande-mobile-admin,1,0,1,1,YES,NO
oneacrefund/adminer,oneacrefund/adminer,1,0,1,1,YES,NO
oneacrefund/airbyte-custom,oneacrefund/airbyte-custom,1,0,1,1,YES,NO
oneacrefund/airbyte-firestore,oneacrefund/airbyte-firestore,40,0,40,40,YES,NO
oneacrefund/airbyte-kobo,oneacrefund/airbyte-kobo,43,0,43,93,YES,NO
oneacrefund/airbyte-source-telerivet,oneacrefund/airbyte-source-telerivet,3,0,3,5,YES,NO
oneacrefund/airtel-connector,oneacrefund/airtel-connector,33,0,33,35,YES,NO
oneacrefund/api,oneacrefund/api,77,0,103,103,NO,NO
oneacrefund/auth,oneacrefund/auth,77,0,103,103,NO,NO
oneacrefund/autosaveconsumer,oneacrefund/autosaveconsumer,1,0,1,1,YES,NO
oneacrefund/azure-blob-logstash,oneacrefund/azure-blob-logstash,2,0,2,2,YES,NO
oneacrefund/baobab-backend,oneacrefund/baobab-backend,60,0,60,117,YES,NO
oneacrefund/cbes-connector,oneacrefund/cbes-connector,2,0,2,2,YES,NO
oneacrefund/channel-connector,oneacrefund/channel-connector,56,0,56,57,YES,NO
oneacrefund/client-management,oneacrefund/client-management,1,0,1,1,YES,NO
oneacrefund/clientconsumer,oneacrefund/clientconsumer,40,0,40,40,YES,NO
oneacrefund/clientmanagement,oneacrefund/clientmanagement,15,0,15,15,YES,NO
oneacrefund/clif-cache,oneacrefund/clif-cache,63,0,75,81,NO,NO
oneacrefund/connector-template,oneacrefund/connector-template,2,0,2,2,YES,NO
oneacrefund/couchbase-duma,oneacrefund/couchbase-duma,1,0,1,1,YES,NO
oneacrefund/dbt,oneacrefund/dbt,6,0,6,6,YES,NO
oneacrefund/dumaapi,oneacrefund/dumaapi,5,0,5,5,YES,NO
oneacrefund/elasticsearch,oneacrefund/elasticsearch,32,0,32,32,YES,NO
oneacrefund/erply-cache,oneacrefund/erply-cache,40,0,40,40,YES,NO
oneacrefund/erply-connector,oneacrefund/erply-connector,31,0,31,31,YES,NO
oneacrefund/erply-consumer,oneacrefund/erply-consumer,60,0,60,60,YES,NO
oneacrefund/erply-create-payment,oneacrefund/erply-create-payment,1,0,1,1,YES,NO
oneacrefund/erply-payment,oneacrefund/erply-payment,40,0,40,40,YES,NO
oneacrefund/event-publisher,oneacrefund/event-publisher,4,0,4,4,YES,NO
oneacrefund/fds-api,oneacrefund/fds-api,69,0,106,106,NO,NO
oneacrefund/fds-consumer,oneacrefund/fds-consumer,65,0,70,70,NO,NO
oneacrefund/ffp-consumer,oneacrefund/ffp-consumer,1,0,1,1,YES,NO
oneacrefund/fineract-backend,oneacrefund/fineract-backend,78,0,91,91,NO,NO
oneacrefund/fineract-frontend,oneacrefund/fineract-frontend,60,0,60,86,YES,NO
oneacrefund/fineract-frontend-v2,oneacrefund/fineract-frontend-v2,65,0,77,83,NO,NO
oneacrefund/fleet,oneacrefund/fleet,3,0,3,5,YES,NO
oneacrefund/flink,oneacrefund/flink,1,0,1,1,YES,NO
oneacrefund/jenkins,oneacrefund/jenkins,1,0,1,1,YES,NO
oneacrefund/k8s-elastalert,oneacrefund/k8s-elastalert,7,0,7,7,YES,NO
oneacrefund/k8s-kibana,oneacrefund/k8s-kibana,83,0,96,194,NO,NO
oneacrefund/k8s-logstash,oneacrefund/k8s-logstash,57,0,57,57,YES,NO
oneacrefund/k8s-logstash-polling,oneacrefund/k8s-logstash-polling,57,0,57,57,YES,NO
oneacrefund/keycloak-api,oneacrefund/keycloak-api,65,0,85,87,NO,NO
oneacrefund/keycloak-themes,oneacrefund/keycloak-themes,60,0,60,60,YES,NO
oneacrefund/kibana,oneacrefund/kibana,32,0,32,32,YES,NO
oneacrefund/knowi-agent,oneacrefund/knowi-agent,2,0,2,2,YES,NO
oneacrefund/logistics-app,oneacrefund/logistics-app,40,0,40,56,YES,NO
oneacrefund/logstash,oneacrefund/logstash,8,0,8,10,YES,NO
oneacrefund/master-data-odoo-consumer,oneacrefund/master-data-odoo-consumer,1,0,1,1,YES,NO
oneacrefund/message-gateway,oneacrefund/message-gateway,60,0,60,60,YES,NO
oneacrefund/metabase,oneacrefund/metabase,1,0,1,1,YES,NO
oneacrefund/mpesa-connector,oneacrefund/mpesa-connector,31,0,31,33,YES,NO
oneacrefund/msg-refresh-v3,oneacrefund/msg-refresh-v3,1,0,1,1,YES,NO
oneacrefund/mtn-connector,oneacrefund/mtn-connector,39,0,41,43,NO,NO
oneacrefund/mw-ai-services,oneacrefund/mw-ai-services,37,0,37,37,YES,NO
oneacrefund/my-project-api,oneacrefund/my-project-api,11,0,11,11,YES,NO
oneacrefund/my-project-worker,oneacrefund/my-project-worker,8,0,8,8,YES,NO
oneacrefund/n8n,oneacrefund/n8n,45,0,45,77,YES,NO
oneacrefund/notificationapi,oneacrefund/notificationapi,1,0,1,1,YES,NO
oneacrefund/oaf-client-update,oneacrefund/oaf-client-update,2,0,2,2,YES,NO
oneacrefund/oaf-dbt,oneacrefund/oaf-dbt,1,0,1,1,YES,NO
oneacrefund/oaf-jenkins,oneacrefund/oaf-jenkins,64,0,74,74,NO,NO
oneacrefund/oaf-logstash,oneacrefund/oaf-logstash,8,0,8,22,YES,NO
oneacrefund/oaf-moodle,oneacrefund/oaf-moodle,40,0,40,66,YES,NO
oneacrefund/oaf-odoo-data-migration,oneacrefund/oaf-odoo-data-migration,2,0,2,2,YES,NO
oneacrefund/oaf-toolbox,oneacrefund/oaf-toolbox,8,0,8,8,YES,NO
oneacrefund/ocs-fulfillment-plan,oneacrefund/ocs-fulfillment-plan,60,0,60,60,YES,NO
oneacrefund/ocs-reserve-consumer,oneacrefund/ocs-reserve-consumer,60,0,60,60,YES,NO
oneacrefund/odoo,oneacrefund/odoo,101,0,160,478,NO,NO
oneacrefund/odoo-cache,oneacrefund/odoo-cache,40,0,40,40,YES,NO
oneacrefund/odoo-locust,oneacrefund/odoo-locust,0,0,1,1,NO,NO
oneacrefund/odoo-procurement,oneacrefund/odoo-procurement,13,0,13,39,YES,NO
oneacrefund/odoo-producer,oneacrefund/odoo-producer,60,0,62,64,NO,NO
oneacrefund/odoo-sapb1-consumer,oneacrefund/odoo-sapb1-consumer,60,0,84,86,NO,NO
oneacrefund/odoo-sapb1-sales-consumer,oneacrefund/odoo-sapb1-sales-consumer,60,0,65,65,NO,NO
oneacrefund/odoo-service,oneacrefund/odoo-service,0,0,0,0,YES,YES
oneacrefund/odoo-utilities,oneacrefund/odoo-utilities,76,0,109,327,NO,NO
oneacrefund/offlinewritesserviceapi,oneacrefund/offlinewritesserviceapi,60,0,65,195,NO,NO
oneacrefund/oneacrefund,oneacrefund/oneacrefund,4,0,4,4,YES,NO
oneacrefund/operations-app,oneacrefund/operations-app,30,0,30,32,YES,NO
oneacrefund/orderingservice,oneacrefund/orderingservice,7,0,7,7,YES,NO
oneacrefund/paygops-ams-connector,oneacrefund/paygops-ams-connector,14,0,14,14,YES,NO
oneacrefund/payment-gateway-consumer,oneacrefund/payment-gateway-consumer,60,0,63,63,NO,NO
oneacrefund/payment-gateway-wrapper,oneacrefund/payment-gateway-wrapper,60,0,69,117,NO,NO
oneacrefund/paymentconsumer,oneacrefund/paymentconsumer,1,0,1,1,YES,NO
oneacrefund/payments_pesa_autosave_consumer,oneacrefund/payments_pesa_autosave_consumer,16,0,16,16,YES,NO
oneacrefund/payments_pesa_core,oneacrefund/payments_pesa_core,14,0,14,14,YES,NO
oneacrefund/payments_pesa_equity_bank,oneacrefund/payments_pesa_equity_bank,16,0,16,16,YES,NO
oneacrefund/payments_pesa_payment_consumer,oneacrefund/payments_pesa_payment_consumer,16,0,16,16,YES,NO
oneacrefund/pesa_autosave_consumer,oneacrefund/pesa_autosave_consumer,60,0,60,60,YES,NO
oneacrefund/pesa_bancobu,oneacrefund/pesa_bancobu,40,0,40,40,YES,NO
oneacrefund/pesa_bank_of_kigali,oneacrefund/pesa_bank_of_kigali,13,0,13,13,YES,NO
oneacrefund/pesa_bc,oneacrefund/pesa_bc,3,0,3,3,YES,NO
oneacrefund/pesa_beyonic,oneacrefund/pesa_beyonic,41,0,41,41,YES,NO
oneacrefund/pesa_bk,oneacrefund/pesa_bk,40,0,40,40,YES,NO
oneacrefund/pesa_core,oneacrefund/pesa_core,40,0,40,40,YES,NO
oneacrefund/pesa_equity_bank,oneacrefund/pesa_equity_bank,40,0,40,40,YES,NO
oneacrefund/pesa_fbn,oneacrefund/pesa_fbn,51,0,51,51,YES,NO
oneacrefund/pesa_first_bank,oneacrefund/pesa_first_bank,13,0,13,13,YES,NO
oneacrefund/pesa_payment_consumer,oneacrefund/pesa_payment_consumer,60,0,60,60,YES,NO
oneacrefund/ph-ee-connector-ams-fineract,oneacrefund/ph-ee-connector-ams-fineract,42,0,42,44,YES,NO
oneacrefund/ph-ee-connector-ams-odoo,oneacrefund/ph-ee-connector-ams-odoo,13,0,13,18,YES,NO
oneacrefund/ph-ee-connector-ams-pesa,oneacrefund/ph-ee-connector-ams-pesa,5,0,5,5,YES,NO
oneacrefund/ph-ee-connector-bancobu,oneacrefund/ph-ee-connector-bancobu,8,0,9,11,NO,NO
oneacrefund/ph-ee-connector-channel,oneacrefund/ph-ee-connector-channel,1,0,1,1,YES,NO
oneacrefund/ph-ee-connector-mpesa,oneacrefund/ph-ee-connector-mpesa,7,0,7,7,YES,NO
oneacrefund/ph-ee-connector-nbs,oneacrefund/ph-ee-connector-nbs,6,0,6,8,YES,NO
oneacrefund/ph-ee-importer-es,oneacrefund/ph-ee-importer-es,3,0,3,5,YES,NO
oneacrefund/ph-ee-importer-rdbms,oneacrefund/ph-ee-importer-rdbms,12,0,12,14,YES,NO
oneacrefund/ph-ee-operations-web,oneacrefund/ph-ee-operations-web,44,0,44,48,YES,NO
oneacrefund/rabbitmq-connector,oneacrefund/rabbitmq-connector,3,0,9,30,NO,NO
oneacrefund/rabbitmq-external-connector,oneacrefund/rabbitmq-external-connector,61,0,61,64,YES,NO
oneacrefund/redis-service,oneacrefund/redis-service,60,0,60,60,YES,NO
oneacrefund/refresh,oneacrefund/refresh,77,0,103,103,NO,NO
oneacrefund/retry-service,oneacrefund/retry-service,60,0,60,62,YES,NO
oneacrefund/roster-dataset,oneacrefund/roster-dataset,77,0,103,103,NO,NO
oneacrefund/rts-api,oneacrefund/rts-api,60,0,60,60,YES,NO
oneacrefund/rts-consumer,oneacrefund/rts-consumer,60,0,65,65,NO,NO
oneacrefund/rts-ui,oneacrefund/rts-ui,40,0,40,40,YES,NO
oneacrefund/sage-300-core,oneacrefund/sage-300-core,40,0,40,40,YES,NO
oneacrefund/sage-300-cron-connector,oneacrefund/sage-300-cron-connector,1,0,1,1,YES,NO
oneacrefund/sage-300-cron-proxy,oneacrefund/sage-300-cron-proxy,1,0,1,1,YES,NO
oneacrefund/sage-300-rabbitmq-connector,oneacrefund/sage-300-rabbitmq-connector,1,0,1,1,YES,NO
oneacrefund/sage-300-rabbitmq-proxy,oneacrefund/sage-300-rabbitmq-proxy,1,0,1,1,YES,NO
oneacrefund/sanction-screen-api,oneacrefund/sanction-screen-api,61,0,61,64,YES,NO
oneacrefund/sapb1-cache,oneacrefund/sapb1-cache,40,0,40,40,YES,NO
oneacrefund/sapb1-consumer,oneacrefund/sapb1-consumer,60,0,60,60,YES,NO
oneacrefund/sapb1-erply-consumer,oneacrefund/sapb1-erply-consumer,1,0,1,1,YES,NO
oneacrefund/sapb1-erply-producer,oneacrefund/sapb1-erply-producer,60,0,60,60,YES,NO
oneacrefund/sapb1-master-data-consumer,oneacrefund/sapb1-master-data-consumer,63,0,67,68,NO,NO
oneacrefund/sapb1-odoo-consumer,oneacrefund/sapb1-odoo-consumer,64,0,83,87,NO,NO
oneacrefund/sapb1-producer,oneacrefund/sapb1-producer,60,0,64,88,NO,NO
oneacrefund/scheduler,oneacrefund/scheduler,77,0,103,103,NO,NO
oneacrefund/sf-cache,oneacrefund/sf-cache,40,0,40,40,YES,NO
oneacrefund/sf-cache-etl,oneacrefund/sf-cache-etl,1,0,1,1,YES,NO
oneacrefund/sf-fetch-employee-data,oneacrefund/sf-fetch-employee-data,40,0,40,40,YES,NO
oneacrefund/sf-producer,oneacrefund/sf-producer,1,0,1,1,YES,NO
oneacrefund/sf-sync,oneacrefund/sf-sync,1,0,1,1,YES,NO
oneacrefund/shopxp-backend,oneacrefund/shopxp-backend,6,0,6,18,YES,NO
oneacrefund/shs-migrator,oneacrefund/shs-migrator,1,0,1,3,YES,NO
oneacrefund/sns,oneacrefund/sns,66,0,68,270,NO,NO
oneacrefund/superset,oneacrefund/superset,57,0,57,101,YES,NO
oneacrefund/sydent,oneacrefund/sydent,1,0,1,1,YES,NO
oneacrefund/sync-gw-dataset,oneacrefund/sync-gw-dataset,77,0,103,103,NO,NO
oneacrefund/tnm-connector,oneacrefund/tnm-connector,13,0,13,15,YES,NO
oneacrefund/tupande-connector,oneacrefund/tupande-connector,6,0,6,8,YES,NO
oneacrefund/tupande_timiza,oneacrefund/tupande_timiza,68,0,70,71,NO,NO
oneacrefund/uptime-kuma-wrapper,oneacrefund/uptime-kuma-wrapper,1,0,1,1,YES,NO
oneacrefund/uptime-wrapper-api,oneacrefund/uptime-wrapper-api,3,0,3,7,YES,NO
openfaas/faas-netes,openfaas/faas-netes,1,0,1,1,YES,NO
openfaas/gateway,openfaas/gateway,1,0,1,1,YES,NO
openfaas/of-watchdog,openfaas/of-watchdog,1,0,1,1,YES,NO
openfaas/queue-worker,openfaas/queue-worker,1,0,1,1,YES,NO
phee-ns/message-gateway,phee-ns/message-gateway,5,0,5,5,YES,NO
phee-ns/ops-web,phee-ns/ops-web,5,0,5,5,YES,NO
phee-ns/ph-ee-connector-ams-paygops,phee-ns/ph-ee-connector-ams-paygops,5,0,5,5,YES,NO
phee-ns/ph-ee-connector-ams-pesa,phee-ns/ph-ee-connector-ams-pesa,5,0,5,5,YES,NO
phee-ns/ph-ee-connector-channel,phee-ns/ph-ee-connector-channel,5,0,5,5,YES,NO
phee-ns/ph-ee-connector-mpesa,phee-ns/ph-ee-connector-mpesa,5,0,5,5,YES,NO
phee-ns/ph-ee-connector-slcb,phee-ns/ph-ee-connector-slcb,4,0,4,4,YES,NO
phee-ns/ph-ee-importer-es,phee-ns/ph-ee-importer-es,5,0,5,5,YES,NO
phee-ns/ph-ee-importer-rdbms,phee-ns/ph-ee-importer-rdbms,5,0,5,5,YES,NO
phee-ns/ph-ee-notifications,phee-ns/ph-ee-notifications,5,0,5,5,YES,NO
phee-ns/ph-ee-operations-app,phee-ns/ph-ee-operations-app,5,0,5,5,YES,NO
phee-ns/ph-ee-operations-web,phee-ns/ph-ee-operations-web,1,0,1,1,YES,NO
phee-ns/ph-ee-ops-web,phee-ns/ph-ee-ops-web,1,0,1,1,YES,NO
phee-ns/phee-bulk-processor,phee-ns/phee-bulk-processor,5,0,5,5,YES,NO
phee-ns/phee-zeebe-ops,phee-ns/phee-zeebe-ops,5,0,5,5,YES,NO
prom/alertmanager,prom/alertmanager,1,0,1,1,YES,NO
prom/prometheus,prom/prometheus,1,0,1,1,YES,NO
rabbitmq,rabbitmq,1,0,1,1,YES,NO
rclone-image,rclone-image,1,0,1,1,YES,NO
risk-register,risk-register,28,0,28,84,YES,NO
shs-service,shs-service,23,0,23,27,YES,NO
tools/pg-restore,tools/pg-restore,2,0,2,2,YES,NO
us.icr.io/phee-ns/ph-ee-notifications,us.icr.io/phee-ns/ph-ee-notifications,3,0,3,3,YES,NO
TOTAL,,5345,0,5835,7731,,
