acr_repo,ecr_repo,acr_tags,acr_manifests,ecr_tags,ecr_manifests,acr_only_tags,tags_match,manifests_match,ecr_only_tags
micro,micro,1,1,1,1,0,YES,YES,0
nats-streaming,nats-streaming,1,1,1,1,0,YES,YES,0
oaf-logstash,oaf-logstash,1,1,1,1,0,YES,YES,0
one-acre-fund/tupande-mobile-admin,one-acre-fund/tupande-mobile-admin,1,1,1,1,0,YES,YES,0
oneacrefund/adminer,oneacrefund/adminer,1,1,1,1,0,YES,YES,0
oneacrefund/airbyte-custom,oneacrefund/airbyte-custom,1,1,1,1,0,YES,YES,0
oneacrefund/airbyte-firestore,oneacrefund/airbyte-firestore,40,40,40,40,0,YES,YES,0
oneacrefund/airbyte-kobo,oneacrefund/airbyte-kobo,43,93,43,93,0,YES,YES,0
oneacrefund/airbyte-source-telerivet,oneacrefund/airbyte-source-telerivet,3,4,3,5,0,YES,NO,0
oneacrefund/airtel-connector,oneacrefund/airtel-connector,33,39,33,35,0,YES,NO,0
oneacrefund/api,oneacrefund/api,77,132,103,103,0,YES,NO,26
oneacrefund/auth,oneacrefund/auth,77,132,103,103,0,YES,NO,26
oneacrefund/autosaveconsumer,oneacrefund/autosaveconsumer,1,1,1,1,0,YES,YES,0
oneacrefund/azure-blob-logstash,oneacrefund/azure-blob-logstash,2,1,2,2,0,YES,NO,0
oneacrefund/baobab-backend,oneacrefund/baobab-backend,60,147,60,117,0,YES,NO,0
oneacrefund/cbes-connector,oneacrefund/cbes-connector,2,1,2,2,0,YES,NO,0
oneacrefund/channel-connector,oneacrefund/channel-connector,56,58,56,57,0,YES,NO,0
oneacrefund/client-management,oneacrefund/client-management,1,1,1,1,0,YES,YES,0
oneacrefund/clientconsumer,oneacrefund/clientconsumer,40,39,40,40,0,YES,NO,0
oneacrefund/clientmanagement,oneacrefund/clientmanagement,15,15,15,15,0,YES,YES,0
oneacrefund/clif-cache,oneacrefund/clif-cache,63,102,75,81,0,YES,NO,12
oneacrefund/connector-template,oneacrefund/connector-template,2,1,2,2,0,YES,NO,0
oneacrefund/couchbase-duma,oneacrefund/couchbase-duma,1,1,1,1,0,YES,YES,0
oneacrefund/dbt,oneacrefund/dbt,6,6,6,6,0,YES,YES,0
oneacrefund/dumaapi,oneacrefund/dumaapi,5,5,5,5,0,YES,YES,0
oneacrefund/elasticsearch,oneacrefund/elasticsearch,32,3,32,32,0,YES,NO,0
oneacrefund/erply-cache,oneacrefund/erply-cache,40,40,40,40,0,YES,YES,0
oneacrefund/erply-connector,oneacrefund/erply-connector,31,31,31,31,0,YES,YES,0
oneacrefund/erply-consumer,oneacrefund/erply-consumer,60,60,60,60,0,YES,YES,0
oneacrefund/erply-create-payment,oneacrefund/erply-create-payment,1,1,1,1,0,YES,YES,0
oneacrefund/erply-payment,oneacrefund/erply-payment,40,40,40,40,0,YES,YES,0
oneacrefund/event-publisher,oneacrefund/event-publisher,4,4,4,4,0,YES,YES,0
oneacrefund/fds-api,oneacrefund/fds-api,69,114,106,106,0,YES,NO,37
oneacrefund/fds-consumer,oneacrefund/fds-consumer,65,78,70,70,0,YES,NO,5
oneacrefund/ffp-consumer,oneacrefund/ffp-consumer,1,1,1,1,0,YES,YES,0
oneacrefund/fineract-backend,oneacrefund/fineract-backend,78,137,91,91,0,YES,NO,13
oneacrefund/fineract-frontend,oneacrefund/fineract-frontend,60,86,60,86,0,YES,YES,0
oneacrefund/fineract-frontend-v2,oneacrefund/fineract-frontend-v2,65,115,77,83,0,YES,NO,12
oneacrefund/fleet,oneacrefund/fleet,3,4,3,5,0,YES,NO,0
oneacrefund/flink,oneacrefund/flink,1,1,1,1,0,YES,YES,0
oneacrefund/jenkins,oneacrefund/jenkins,1,1,1,1,0,YES,YES,0
oneacrefund/k8s-elastalert,oneacrefund/k8s-elastalert,7,7,7,7,0,YES,YES,0
oneacrefund/k8s-kibana,oneacrefund/k8s-kibana,83,228,96,194,0,YES,NO,13
oneacrefund/k8s-logstash,oneacrefund/k8s-logstash,57,57,57,57,0,YES,YES,0
oneacrefund/k8s-logstash-polling,oneacrefund/k8s-logstash-polling,57,57,57,57,0,YES,YES,0
oneacrefund/keycloak-api,oneacrefund/keycloak-api,65,125,85,87,0,YES,NO,20
oneacrefund/keycloak-themes,oneacrefund/keycloak-themes,60,59,60,60,0,YES,NO,0
oneacrefund/kibana,oneacrefund/kibana,32,26,32,32,0,YES,NO,0
oneacrefund/knowi-agent,oneacrefund/knowi-agent,2,2,2,2,0,YES,YES,0
oneacrefund/logistics-app,oneacrefund/logistics-app,40,56,40,56,0,YES,YES,0
oneacrefund/logstash,oneacrefund/logstash,8,9,8,10,0,YES,NO,0
oneacrefund/master-data-odoo-consumer,oneacrefund/master-data-odoo-consumer,1,1,1,1,0,YES,YES,0
oneacrefund/message-gateway,oneacrefund/message-gateway,60,60,60,60,0,YES,YES,0
oneacrefund/metabase,oneacrefund/metabase,1,1,1,1,0,YES,YES,0
oneacrefund/mpesa-connector,oneacrefund/mpesa-connector,31,33,31,33,0,YES,YES,0
oneacrefund/msg-refresh-v3,oneacrefund/msg-refresh-v3,1,1,1,1,0,YES,YES,0
oneacrefund/mtn-connector,oneacrefund/mtn-connector,39,40,41,43,0,YES,NO,2
oneacrefund/mw-ai-services,oneacrefund/mw-ai-services,37,37,37,37,0,YES,YES,0
oneacrefund/my-project-api,oneacrefund/my-project-api,11,17,11,11,0,YES,NO,0
oneacrefund/my-project-worker,oneacrefund/my-project-worker,8,14,8,8,0,YES,NO,0
oneacrefund/n8n,oneacrefund/n8n,45,77,45,77,0,YES,YES,0
oneacrefund/notificationapi,oneacrefund/notificationapi,1,1,1,1,0,YES,YES,0
oneacrefund/oaf-client-update,oneacrefund/oaf-client-update,2,2,2,2,0,YES,YES,0
oneacrefund/oaf-dbt,oneacrefund/oaf-dbt,1,1,1,1,0,YES,YES,0
oneacrefund/oaf-jenkins,oneacrefund/oaf-jenkins,64,17,74,74,0,YES,NO,10
oneacrefund/oaf-logstash,oneacrefund/oaf-logstash,8,21,8,22,0,YES,NO,0
oneacrefund/oaf-moodle,oneacrefund/oaf-moodle,40,66,40,66,0,YES,YES,0
oneacrefund/oaf-odoo-data-migration,oneacrefund/oaf-odoo-data-migration,2,2,2,2,0,YES,YES,0
oneacrefund/oaf-toolbox,oneacrefund/oaf-toolbox,8,8,8,8,0,YES,YES,0
oneacrefund/ocs-fulfillment-plan,oneacrefund/ocs-fulfillment-plan,60,60,60,60,0,YES,YES,0
oneacrefund/ocs-reserve-consumer,oneacrefund/ocs-reserve-consumer,60,60,60,60,0,YES,YES,0
oneacrefund/odoo,oneacrefund/odoo,101,360,160,478,0,YES,NO,59
oneacrefund/odoo-cache,oneacrefund/odoo-cache,40,40,40,40,0,YES,YES,0
oneacrefund/odoo-locust,oneacrefund/odoo-locust,0,0,1,1,0,YES,NO,1
oneacrefund/odoo-procurement,oneacrefund/odoo-procurement,13,39,13,39,0,YES,YES,0
oneacrefund/odoo-producer,oneacrefund/odoo-producer,60,78,62,64,0,YES,NO,2
oneacrefund/odoo-sapb1-consumer,oneacrefund/odoo-sapb1-consumer,60,120,84,86,0,YES,NO,24
oneacrefund/odoo-sapb1-sales-consumer,oneacrefund/odoo-sapb1-sales-consumer,60,120,65,65,0,YES,NO,5
oneacrefund/odoo-service,oneacrefund/odoo-service,0,0,0,0,0,YES,YES,0
